Word,Meaning,Pronounce,Example Sentence,Translated Sentence,Search Count,Category,Importance,Add Date,Done,Learning Point
japan,日本,dʒəˈpæn,私は来年、日本に旅行する予定です。,I am planning to travel to Japan next year.,7.0,その他,2,2024-09-28,0.0,3.0
South Korea,韓国,saʊθ kəˈriə,I have never been to South Korea.,私は韓国に行ったことがありません。,1.0,その他,2,2024-09-28,0.0,1.0
image,イメージ、映像、画像,ˈɪmɪdʒ,彼は美しい風景のイメージを描いた。,He painted a beautiful image of the landscape.,1.0,その他,2,2024-09-28,0.0,1.0
sister,姉妹,ˈsɪstər,彼女は私の姉妹です。,She is my sister.,2.0,その他,2,2024-09-28,0.0,2.0
brother,兄,ˈbrʌðər,兄は私よりも年上です。,My brother is older than me.,2.0,その他,2,2024-09-28,0.0,2.0
adopt,採用する,əˈdɒpt,彼らはその子犬を飼うことに決めた。,They decided to adopt the puppy.,2.0,その他,2,2024-09-28,0.0,1.0
allow,許可する,əˈlaʊ,彼は私が友達と遊ぶことを許可してくれた。,He allowed me to play with my friends.,3.0,その他,1,2024-09-29,0.0,3.0
attract,引きつける、魅了する,əˈtrækt,彼女の美しい声は多くのファンを引きつけます。,Her beautiful voice attracts many fans.,3.0,その他,1,2024-09-29,0.0,3.0
avoid,避ける,əˈvɔɪd,事故を避けるためには、スピードを落とすことが重要です。,"To avoid accidents, it is important to slow down.",4.0,その他,1,2024-09-29,1.0,3.0
inform,知らせる、通知する,ɪnˈfɔːrm,彼は私たちに会議の詳細を知らせました。,He informed us of the details of the meeting.,4.0,その他,1,2024-09-29,1.0,1.0
prevent,防ぐ,prɪˈvent,事故を防ぐために、安全ベルトを着用してください。,"To prevent accidents, please wear your seatbelt.",2.0,その他,1,2024-09-29,1.0,2.0
protect,保護する,prəˈtɛkt,彼は妹を守るために必死で戦った。,He fought desperately to protect his sister.,2.0,その他,1,2024-09-29,2.0,2.0
provide,提供する,prəˈvaɪd,彼女は私に必要な情報を提供してくれた。,She provided me with the necessary information.,7.0,その他,1,2024-09-30,0.0,3.0
recommend,勧める、推薦する,ˌrekəˈmend,友達にそのレストランをおすすめした。,I recommended that restaurant to my friend.,2.0,その他,1,2024-10-05,0.0,1.0
apply for,～を申請する、応募する,əˈplaɪ fɔːr,彼は大学に入学するために奨学金を申請した。,He applied for a scholarship to attend university.,3.0,その他,1,2024-09-30,0.0,3.0
construction,建設,kənˈstrʌkʃən,その新しい建設プロジェクトは地元の経済に大きな影響を与えるだろう。,The new construction project will have a significant impact on the local economy.,4.0,その他,1,2024-09-30,0.0,4.0
consumer,消費者,kənˈsjuːmər,彼は消費者としての権利を主張した。,He asserted his rights as a consumer.,5.0,その他,1,2024-09-30,0.0,4.0
deal,取引する、扱う,diːl,彼は毎日たくさんの取引をしています。,He deals with a lot of transactions every day.,0.0,その他,1,2024-09-30,0.0,0.0
decision,決定、決断,dɪˈsɪʒən,彼は大学に進学するかどうかの決断を迫られている。,He is faced with the decision of whether to go to college or not.,7.0,その他,1,2024-09-30,0.0,5.0
